brd_cd,sap_cd,account_nm_cn,account_id,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,,
MLB KIDS,,,평균,0.42,0.42,,,,,,,,,,,,,
MLB,,,평균,0.448467962,0.44218263,,,,,,,,,,,,,
DISCOVERY,,,평균,0.45,0.45,,,,,,,,,,,,,
MLB KIDS,8000002,深圳有盈贸易有限公司,D032,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000003,常春藤(广州)投资有限公司,D027,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000004,厦门百轮服饰有限公司,D028,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000005,厦门时韫商贸有限公司,D019,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000006,重庆渲格商贸有限公司,D014,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000007,杭州宇振商业有限公司,D012,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000009,成都市宝康服饰商贸有限公司,D011,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000011,江西朝明潮贸易有限公司,D020,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000014,依梵(上海)品牌管理有限公司,D003,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000015,上海凌博商贸有限公司,D001,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000017,沈阳瑞元禾商贸有限公司,D023,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000018,华初壹通国际贸易有限公司,D025,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000023,山西凌皓国际贸易有限公司,D021,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000026,武汉摩顶贸易有限公司,D016,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000027,沈阳固孚固贸易有限公司,D008,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000028,河南金安芯商贸有限公司,D002,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000029,西安纳霁动力商贸有限公司,D005,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000030,哈尔滨麟嘉商贸有限公司,D004,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000034,北京晶睿贸易发展有限公司,D006,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000060,江苏骏溪网络科技有限公司,D039,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000155,北京蓝梦宇其贸易有限公司,D046,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000181,长沙市珀御商贸有限公司,D048,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000187,江苏苏豪国际集团股份有限公司,D051,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000270,南宁市菲诺电子科技有限公司,D063,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000310,北京绮妙科技有限公司,D070,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000385,云南恒磐商贸有限公司,D072,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000413,山东德峻丰品牌管理有限公司,D073,0.42,0.42000005,,,,,,,,,,,,,
MLB KIDS,8000421,乌鲁木齐雏鹰浩涵商贸有限公司,D074,0.42,0.42000005,,,,,,,,,,,,,
MLB,8000001,深圳市普洛狮贸易有限公司,D026,0.45915689,0.45096327,,,,,,,,,,,,,
MLB,8000002,深圳有盈贸易有限公司,D032,0.448320289,0.436161245,,,,,,,,,,,,,
MLB,8000003,常春藤(广州)投资有限公司,D027,0.447880804,0.441027856,,,,,,,,,,,,,
MLB,8000004,厦门百轮服饰有限公司,D028,0.446521751,0.432074388,,,,,,,,,,,,,
MLB,8000005,厦门时韫商贸有限公司,D019,0.450561156,0.438871325,,,,,,,,,,,,,
MLB,8000006,重庆渲格商贸有限公司,D014,0.445495618,0.438016954,,,,,,,,,,,,,
MLB,8000007,杭州宇振商业有限公司,D012,0.447827371,0.447894897,,,,,,,,,,,,,
MLB,8000009,成都市宝康服饰商贸有限公司,D011,0.445142862,0.473305802,,,,,,,,,,,,,
MLB,8000010,成都莱恒商贸有限公司,D031,0.444446764,0.446218956,,,,,,,,,,,,,
MLB,8000011,江西朝明潮贸易有限公司,D020,0.443149382,0.448676021,,,,,,,,,,,,,
MLB,8000014,依梵(上海)品牌管理有限公司,D003,0.448148178,0.433689481,,,,,,,,,,,,,
MLB,8000015,上海凌博商贸有限公司,D001,0.454161928,0.436575292,,,,,,,,,,,,,
MLB,8000017,沈阳瑞元禾商贸有限公司,D023,0.442394884,0.437680298,,,,,,,,,,,,,
MLB,8000018,华初壹通国际贸易有限公司,D025,0.446915727,0.431458996,,,,,,,,,,,,,
MLB,8000019,北京嘉尚国际时装有限公司,D029,0.44450657,0.436651378,,,,,,,,,,,,,
MLB,8000021,新疆莘三石商贸有限公司,D022,0.434256337,0.437284055,,,,,,,,,,,,,
MLB,8000023,山西凌皓国际贸易有限公司,D021,0.441140806,0.442302703,,,,,,,,,,,,,
MLB,8000026,武汉摩顶贸易有限公司,D016,0.435680223,0.436585052,,,,,,,,,,,,,
MLB,8000027,沈阳固孚固贸易有限公司,D008,0.449062138,0.450768487,,,,,,,,,,,,,
MLB,8000028,河南金安芯商贸有限公司,D002,0.428885306,0.44438886,,,,,,,,,,,,,
MLB,8000029,西安纳霁动力商贸有限公司,D005,0.446914263,0.441101598,,,,,,,,,,,,,
MLB,8000030,哈尔滨麟嘉商贸有限公司,D004,0.445950755,0.44034927,,,,,,,,,,,,,
MLB,8000033,北京潮流贸易有限公司,D036,0.465475767,0.464789457,,,,,,,,,,,,,
MLB,8000034,北京晶睿贸易发展有限公司,D006,0.454633165,0.455213939,,,,,,,,,,,,,
MLB,8000059,杭州优溜网络技术有限公司,D038,0.47,0.46999998,,,,,,,,,,,,,
MLB,8000060,江苏骏溪网络科技有限公司,D039,0.452808804,0.456109334,,,,,,,,,,,,,
MLB,8000121,星羽宏文（沈阳）商贸有限公司,D045,0.444325794,0.441515091,,,,,,,,,,,,,
MLB,8000180,内蒙古旭雅商贸有限公司,D047,0.458093356,0.431008144,,,,,,,,,,,,,
MLB,8000181,长沙市珀御商贸有限公司,D048,0.449802027,0.447206078,,,,,,,,,,,,,
MLB,8000183,北京鑫聚盛业服装服饰有限公司,D049,0.443592991,0.448599345,,,,,,,,,,,,,
MLB,8000187,江苏苏豪国际集团股份有限公司,D051,0.451027913,0.453096107,,,,,,,,,,,,,
MLB,8000270,南宁市菲诺电子科技有限公司,D063,0.444264175,0.426809412,,,,,,,,,,,,,
MLB,8000310,北京绮妙科技有限公司,D070,0.464961344,0.465267828,,,,,,,,,,,,,
MLB,8000385,云南恒磐商贸有限公司,D072,0.447083251,0.430319471,,,,,,,,,,,,,
MLB,8000413,山东德峻丰品牌管理有限公司,D073,0.449013339,0.435555983,,,,,,,,,,,,,
DISCOVERY,8000007,杭州宇振商业有限公司,D012,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000009,成都市宝康服饰商贸有限公司,D011,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000011,江西朝明潮贸易有限公司,D020,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000019,北京嘉尚国际时装有限公司,D029,0.45,0.45,,,,,,,,,,,,,#DIV/0!
DISCOVERY,8000021,新疆莘三石商贸有限公司,D022,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000028,河南金安芯商贸有限公司,D002,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000030,哈尔滨麟嘉商贸有限公司,D004,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000232,孚瑞达（沈阳）贸易有限公司,D054,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000233,武汉顶尚贸易有限公司,D055,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000237,丰晟（广州）品牌管理有限公司,D058,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000276,山西颖璇贸易有限公司,D065,0.45,0.45,,,,,,,,,,,,,
DISCOVERY,8000280,江苏幸运叶子数字科技有限公司,D068,0.45,0.45,,,,,,,,,,,,,
